Time,cplasma,SD,dose_uM,treatment,Variable,exposure_route
0.08,0.25,0.18,10,NFT,cplasma,oraldose
0.25,0.288,0.19,10,NFT,cplasma,oraldose
0.5,0.433,0,10,NFT,cplasma,oraldose
1,0.584,0,10,NFT,cplasma,oraldose
2,1.01,0.47,10,NFT,cplasma,oraldose
4,0.573,0.12,10,NFT,cplasma,oraldose
6,0.353,0,10,NFT,cplasma,oraldose
8,0.231,0,10,NFT,cplasma,oraldose
12,0.14,0,10,NFT,cplasma,oraldose
0.04,8.18,1.29,2,NFT,cplasma,Ivdose
0.1,6.12,1.1,2,NFT,cplasma,Ivdose
0.25,2.88,1.04,2,NFT,cplasma,Ivdose
0.5,0.7,0.1,2,NFT,cplasma,Ivdose
1,0.19,0,2,NFT,cplasma,Ivdose
2,0.05,0.03,2,NFT,cplasma,Ivdose
0.25,8.6,1.02,1.5,NFT,Billiary,Ivdose
0.5,12.63,3.4,1.5,NFT,Billiary,Ivdose
0.75,15.2,4,1.5,NFT,Billiary,Ivdose
1,17,4.5,1.5,NFT,Billiary,Ivdose
1.25,18,4.76,1.5,NFT,Billiary,Ivdose
1.5,19,4.6,1.5,NFT,Billiary,Ivdose
1.75,19.53,4.61,1.5,NFT,Billiary,Ivdose
2,20,4.5,1.5,NFT,Billiary,Ivdose
0.98,1,0.32,5,NFT,cplasma,Ivdose
0.83,3.7,0,7,NFT,cplasma,Ivdose
0.9,3.7,0,7,NFT,cplasma,Ivdose
0.98,3.4,0.54,7,NFT,cplasma,Ivdose
0.98,7.3,1.2,10,NFT,cplasma,Ivdose
0.98,13.1,2.4,17,NFT,cplasma,Ivdose
0.83,21,0,25,NFT,cplasma,Ivdose
0.9,21.3,0,25,NFT,cplasma,Ivdose
0.98,24.6,3.1,25,NFT,cplasma,Ivdose
4,27,0,3.5,NFT,P_excreted,oraldose
4,40,0,10,NFT,P_excreted,oraldose
4,29,0,25,NFT,P_excreted,oraldose
4,37,0,3,NFT,P_excreted,Ivdose
4,35,0,10,NFT,P_excreted,Ivdose
4,24,0,25,NFT,P_excreted,Ivdose
