"","mean","sd","X2.5.","X97.5.","Rhat"
"Vehrc.1.",1.38073239724805,0.439040100538121,0.3708579,1.973718,1.00231176359348
"Kehr.1.",1.80928685993301,1.38076250788662,0.0687598,5.09537775,1.00071059011612
"kfeces.1.",2.19931364694516,1.74427251054402,0.0721572525,6.49593375,1.00203078374438
"kbile.1.",2.07171522065868,1.6887949760119,0.0588943675,6.22658825,1.00081882734897
"kgutabs.1.",1.10720676793591,0.371318394513828,0.358352,1.8227085,1.00134045205344
"Vehrc.1.1.",0.527640906868626,0.0588751977503613,0.437713,0.666034,1.0114412204237
"Kehr.1.1.",0.0175531059473105,0.016566495032479,0.00140078,0.063089,1.01062250307099
"kfeces.1.1.",0.0187530900637373,0.0176396224438475,0.00063648,0.0649544399999998,1.00308424180587
"kbile.1.1.",0.256812205918066,0.227251834147111,0.007147144,0.832263724999999,1.0038324475216
"kgutabs.1.1.",2.11177519046191,0.17446082256142,1.80867,2.4845,1.0049835469773
"Vehrc.1.2.",0.022434036655169,0.0447173995378128,0.00122863,0.10350255,1.00501099682815
"Kehr.1.2.",3.69335422785943,1.83719079968402,0.743409,7.80934975,1.00123783667502
"kfeces.1.2.",3.34704754931114,2.02752463508979,0.235541,7.467948,1.00309840077465
"kbile.1.2.",3.3672733460205,2.35890058390955,0.20062855,8.98499,1.00062891623482
"kgutabs.1.2.",0.302437343707758,0.155183071024707,0.0776959,0.663131124999999,1.00273706654972
