Time,cplasma,cplasmaSD,dose_uM,treatment,Variable
0.25,0.0271,0,50,NFT,cplasma
0.5,0.0969,0,50,NFT,cplasma
0.75,0.1705,0,50,NFT,cplasma
1,0.1822,0,50,NFT,cplasma
2,0.3062,0,50,NFT,cplasma
4,0.1822,0,50,NFT,cplasma
8,0.0233,0,50,NFT,cplasma
0.17,0.226,0,100,NFT,cplasma
0.22,0.34,0,100,NFT,cplasma
0.35,0.37,0,100,NFT,cplasma
0.5,0.57,0.06,100,NFT,cplasma
0.66,0.83,0,100,NFT,cplasma
0.75,0.54,0,100,NFT,cplasma
1,0.62,0.21,100,NFT,cplasma
1.5,0.65,0.27,100,NFT,cplasma
2,0.47,0.32,100,NFT,cplasma
2.5,0.6,0,100,NFT,cplasma
3,0.42,0.16,100,NFT,cplasma
4,0.39,0.15,100,NFT,cplasma
5,0.18,0,100,NFT,cplasma
6,0.07,0,100,NFT,cplasma
8,0.038,0,100,NFT,cplasma
1,1.58,0.62,200,NFT,cplasma
2,1.08,0.13,200,NFT,cplasma
3,0.88,0.3,200,NFT,cplasma
